Variable	Factor	Age	Name	ShortName	SubCategory	Description
rct_ad_outcome	Skin barrier	12 months	AD by 12 months	AD by 12 months	AD	Atopic dermatitis diagnosis by 12 months
ald_ad_ukwp_hr_by36m	Skin barrier	36 months	AD by 36 months	AD by 36 months	AD	Atopic dermatitis diagnosis by 36 months
ald_as_spt_pos_anyintfood_36m	Allergy	36 months	SPT at 36 months	SPT	SPT	Skin prick test response to peanut, milk, wheat or eggs at 36 months (inflamed spot >= 3mm)
eczema_skin_examination_baby3mdr	Skin barrier	3 months	Eczema at 3 months	Eczema	Eczema	Observed eczema at 3 months
eczema_skin_examination_baby6mdr	Skin barrier	6 months	Eczema at 6 months	Eczema	Eczema	Observed eczema at 6 months
eczema_skin_examination_baby12mdr	Skin barrier	12 months	Eczema at 12 months	Eczema	Eczema	Observed eczema at 12 months
eczema_any	Skin barrier	12 months	Eczema by 12 months	Eczema	Eczema	Any observed eczema in the first year of life
possible_ad	Skin barrier	12 months	Possible AD	Possible AD	AD	Atopic dermatitis diagnosed or not excluded or any observed eczema in the first year of life
Dry_skin_examination_baby3mdr	Skin barrier	3 months	Dry skin at 3 months	Dry skin	Dry skin	Observed dry skin at 3 months
Dry_skin_examination_baby6mdr	Skin barrier	6 months	Dry skin at 6 months	Dry skin	Dry skin	Observed dry skin at 6 months
Dry_skin_examination_baby12mdr	Skin barrier	12 months	Dry skin at 12 months	Dry skin	Dry skin	Observed dry skin at 12 months
dry_skin_any	Skin barrier	12 months	Dry skin by 12 months	Dry skin	Dry skin	Any observed dry skin in the first year of life
tewl_lua_mean_temp20_25_baby3mdr	Skin barrier	3 months	TEWL at 3 months	TEWL	TEWL	Transepidermal water loss (TEWL) measured on the left lateral upper arm at 3 months (mean of 3 measurements sampled at room temperature between 20 and 25°C) [g/m2/h]
tewl_lua_mean_temp20_25_baby6mdr	Skin barrier	6 months	TEWL at 6 months	TEWL	TEWL	Transepidermal water loss (TEWL) measured on the left lateral upper arm at 6 months (mean of 3 measurements sampled at room temperature between 20 and 25°C) [g/m2/h]
tewl_lua_mean_temp20_25_baby12mdr	Skin barrier	12 months	TEWL at 12 months	TEWL	TEWL	Transepidermal water loss (TEWL) measured on the left lateral upper arm at 12 months (mean of 3 measurements sampled at room temperature between 20 and 25°C) [g/m2/h]
tewl_lua_mean_temp20_25_baby3mdr_quartiles	Skin barrier	3 months	TEWL at 3 months (Qs)	TEWL	TEWL	Quartiles of transepidermal water loss (TEWL) measured on the left lateral upper arm at 3 months (mean of 3 measurements sampled at room temperature between 20 and 25°C)
tewl_lua_mean_temp20_25_baby6mdr_quartiles	Skin barrier	6 months	TEWL at 6 months (Qs)	TEWL	TEWL	Quartiles of transepidermal water loss (TEWL) measured on the left lateral upper arm at 6 months (mean of 3 measurements sampled at room temperature between 20 and 25°C)
tewl_lua_mean_temp20_25_baby12mdr_quartiles	Skin barrier	12 months	TEWL at 12 months (Qs)	TEWL	TEWL	Quartiles of transepidermal water loss (TEWL) measured on the left lateral upper arm at 12 months (mean of 3 measurements sampled at room temperature between 20 and 25°C)
xerosis_arm_leg_extens_baby3mdr3cat	Skin barrier	3 months	Dry skin on limbs at 3 months	Dry skin on limbs	Dry skin	Observed dry skin on extensors arms and legs at 3 months scored as none, mild or moderate-severe
xerosis_arm_leg_extens_baby6mdr3cat	Skin barrier	6 months	Dry skin on limbs at 6 months	Dry skin on limbs	Dry skin	Observed dry skin on extensors arms and legs at 6 months scored as none, mild or moderate-severe
xerosis_arm_leg_extens_baby12mdr3cat	Skin barrier	12 months	Dry skin on limbs at 12 months	Dry skin on limbs	Dry skin	Observed dry skin on extensors arms and legs at 12 months scored as none, mild or moderate-severe
flg_mutation	Genetics	NA	FLG mutation	FLG mutation	FLG mutation	Any mutation in the filaggrin gene (FLG)
mother_atopicderm3cat	Parental	NA	Maternal AD	Maternal AD	Parental AD	Maternal atopic disease reported as none, atopic dermatitis or other atopic disease
father_atopicderm3cat	Parental	NA	Paternal AD	Paternal AD	Parental AD	Paternal atopic disease reported as none, atopic dermatitis or other atopic disease
mother_asthma3cat	Parental	NA	Maternal asthma	Maternal asthma	Parental asthma	Maternal athmatic disease reported as none, athma or other atopic disease
father_asthma3cat	Parental	NA	Paternal asthma	Paternal asthma	Parental asthma	Paternal athmatic disease reported as none, athma or other atopic disease
mother_foodallergy3cat	Parental	NA	Maternal food allergy	Maternal food allergy	Parental food allergy	Maternal food allergy reported as none, food allergy or other atopic disease
father_foodallergy3cat	Parental	NA	Paternal food allergy	Paternal food allergy	Parental food allergy	Paternal food allergy reported as none, food allergy or other atopic disease
mother_allergicrhinitis3cat	Parental	NA	Maternal allergic rhinitis	Maternal allergic rhinitis	Parental allergic rhinitis	Maternal allergic rhinitis reported as none, allergic rihintis or other atopic disease
